Barrio del Pilar,Dióxido de Azufre,0,Monóxido de Carbono,77.00000000000016,Monóxido de Nitrógeno,4605.0,Dióxido de Nitrógeno,8492.0,Partículas < 2.5 μm,0,Partículas < 10 μm,0,Óxidos de Nitrógeno,15536.0,Ozono,14484.0,Tolueno,0,Benceno,0,Etilbenceno,0,Metaxileno,0,Paraxileno,0,Ortoxileno,0,Hidrocarburos totales (hexano),0,Metano,0,Hidrocarburos nometánicos (hexano),0
Vallecas,Dióxido de Azufre,2307.0,Monóxido de Carbono,0,Monóxido de Nitrógeno,3012.0,Dióxido de Nitrógeno,8459.0,Partículas < 2.5 μm,0,Partículas < 10 μm,4313.0,Óxidos de Nitrógeno,13080.0,Ozono,0,Tolueno,0,Benceno,0,Etilbenceno,0,Metaxileno,0,Paraxileno,0,Ortoxileno,0,Hidrocarburos totales (hexano),0,Metano,0,Hidrocarburos nometánicos (hexano),0
Méndez Alvaro,Dióxido de Azufre,0,Monóxido de Carbono,0,Monóxido de Nitrógeno,3387.0,Dióxido de Nitrógeno,7637.0,Partículas < 2.5 μm,2202.0,Partículas < 10 μm,4238.0,Óxidos de Nitrógeno,12838.0,Ozono,0,Tolueno,0,Benceno,0,Etilbenceno,0,Metaxileno,0,Paraxileno,0,Ortoxileno,0,Hidrocarburos totales (hexano),0,Metano,0,Hidrocarburos nometánicos (hexano),0
Pº Castellana,Dióxido de Azufre,0,Monóxido de Carbono,0,Monóxido de Nitrógeno,2411.0,Dióxido de Nitrógeno,7912.0,Partículas < 2.5 μm,2305.0,Partículas < 10 μm,4618.0,Óxidos de Nitrógeno,11604.0,Ozono,0,Tolueno,0,Benceno,0,Etilbenceno,0,Metaxileno,0,Paraxileno,0,Ortoxileno,0,Hidrocarburos totales (hexano),0,Metano,0,Hidrocarburos nometánicos (hexano),0
Retiro,Dióxido de Azufre,0,Monóxido de Carbono,0,Monóxido de Nitrógeno,1775.0,Dióxido de Nitrógeno,5781.0,Partículas < 2.5 μm,0,Partículas < 10 μm,0,Óxidos de Nitrógeno,8517.0,Ozono,14941.0,Tolueno,0,Benceno,0,Etilbenceno,0,Metaxileno,0,Paraxileno,0,Ortoxileno,0,Hidrocarburos totales (hexano),0,Metano,0,Hidrocarburos nometánicos (hexano),0
Pza. Castilla,Dióxido de Azufre,0,Monóxido de Carbono,0,Monóxido de Nitrógeno,3670.0,Dióxido de Nitrógeno,8840.0,Partículas < 2.5 μm,2261.0,Partículas < 10 μm,4830.0,Óxidos de Nitrógeno,14454.0,Ozono,0,Tolueno,0,Benceno,0,Etilbenceno,0,Metaxileno,0,Paraxileno,0,Ortoxileno,0,Hidrocarburos totales (hexano),0,Metano,0,Hidrocarburos nometánicos (hexano),0
Ensanche Vallecas,Dióxido de Azufre,0,Monóxido de Carbono,0,Monóxido de Nitrógeno,3466.0,Dióxido de Nitrógeno,8548.0,Partículas < 2.5 μm,0,Partículas < 10 μm,0,Óxidos de Nitrógeno,13872.0,Ozono,14059.0,Tolueno,0,Benceno,0,Etilbenceno,0,Metaxileno,0,Paraxileno,0,Ortoxileno,0,Hidrocarburos totales (hexano),0,Metano,0,Hidrocarburos nometánicos (hexano),0
Urb. Embajada (Barajas),Dióxido de Azufre,0,Monóxido de Carbono,0,Monóxido de Nitrógeno,4152.0,Dióxido de Nitrógeno,9275.0,Partículas < 2.5 μm,0,Partículas < 10 μm,5381.0,Óxidos de Nitrógeno,15638.0,Ozono,0,Tolueno,318.20000000000005,Benceno,83.20000000000005,Etilbenceno,61.40000000000006,Metaxileno,0,Paraxileno,0,Ortoxileno,0,Hidrocarburos totales (hexano),353.50000000000006,Metano,323.2100000000003,Hidrocarburos nometánicos (hexano),30.459999999999972
Plaza Elíptica,Dióxido de Azufre,0,Monóxido de Carbono,76.30000000000008,Monóxido de Nitrógeno,9535.0,Dióxido de Nitrógeno,13286.0,Partículas < 2.5 μm,2859.0,Partículas < 10 μm,5174.0,Óxidos de Nitrógeno,27888.0,Ozono,12441.0,Tolueno,0,Benceno,0,Etilbenceno,0,Metaxileno,0,Paraxileno,0,Ortoxileno,0,Hidrocarburos totales (hexano),0,Metano,0,Hidrocarburos nometánicos (hexano),0
Sanchinarro,Dióxido de Azufre,2325.0,Monóxido de Carbono,66.40000000000016,Monóxido de Nitrógeno,2561.0,Dióxido de Nitrógeno,7325.0,Partículas < 2.5 μm,0,Partículas < 10 μm,3689.0,Óxidos de Nitrógeno,11251.0,Ozono,0,Tolueno,0,Benceno,0,Etilbenceno,0,Metaxileno,0,Paraxileno,0,Ortoxileno,0,Hidrocarburos totales (hexano),0,Metano,0,Hidrocarburos nometánicos (hexano),0
El Pardo,Dióxido de Azufre,0,Monóxido de Carbono,0,Monóxido de Nitrógeno,905.0,Dióxido de Nitrógeno,3702.0,Partículas < 2.5 μm,0,Partículas < 10 μm,0,Óxidos de Nitrógeno,5098.0,Ozono,16015.0,Tolueno,0,Benceno,0,Etilbenceno,0,Metaxileno,0,Paraxileno,0,Ortoxileno,0,Hidrocarburos totales (hexano),0,Metano,0,Hidrocarburos nometánicos (hexano),0
Parque Juan Carlos I,Dióxido de Azufre,0,Monóxido de Carbono,0,Monóxido de Nitrógeno,1803.0,Dióxido de Nitrógeno,5541.0,Partículas < 2.5 μm,0,Partículas < 10 μm,0,Óxidos de Nitrógeno,8298.0,Ozono,14401.0,Tolueno,0,Benceno,0,Etilbenceno,0,Metaxileno,0,Paraxileno,0,Ortoxileno,0,Hidrocarburos totales (hexano),0,Metano,0,Hidrocarburos nometánicos (hexano),0
Tres Olivos,Dióxido de Azufre,0,Monóxido de Carbono,0,Monóxido de Nitrógeno,2317.0,Dióxido de Nitrógeno,6112.0,Partículas < 2.5 μm,0,Partículas < 10 μm,3708.0,Óxidos de Nitrógeno,9656.0,Ozono,16864.0,Tolueno,0,Benceno,0,Etilbenceno,0,Metaxileno,0,Paraxileno,0,Ortoxileno,0,Hidrocarburos totales (hexano),0,Metano,0,Hidrocarburos nometánicos (hexano),0
